Affymetrix Probeset ID	Ensembl ID	MGI Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
17395009	ENSMUSG00000067578	Cbln4	0,6615382357	7,1832501538	8,8570605168	6,19062602799898E-12	0,000000203	16,4174694726
17241676	ENSMUSG00000019945	1700040L02Rik	-0,5917750455	7,3501154769	-8,5761994859	1,68652822881177E-11	2,11661245618744E-07	15,5140759528
17335467	NA	NA	0,8451698649	7,9531594	8,5376736897	1,93610310960219E-11	2,11661245618744E-07	15,3894522124
17440538	ENSMUSG00000033316	Galnt9	0,4729761456	8,7314322769	8,4503815889	2,64803905971948E-11	2,1711934260405E-07	15,1064755334
17295136	ENSMUSG00000021676	Iqgap2	0,5350616616	8,9062014	8,1774560882	7,07570372327613E-11	0,000000434	14,2165799931
17301718	ENSMUSG00000033730	Egr3	0,8347043188	8,7755221538	8,1455677009	7,93951490561671E-11	0,000000434	14,1121222809
17508835	ENSMUSG00000039539	Sgcz	-0,5703572393	7,9984433538	-8,0191934697	1,25409107092913E-10	5,87577497903752E-07	13,6972229741
17360260	ENSMUSG00000063434	Sorcs3	0,4355187873	9,5104938769	7,9251007362	1,76372931741226E-10	7,23062880289624E-07	13,3873812336
17540027	NA	NA	-0,4885984731	10,1427287385	-7,6807270341	4,28624892896961E-10	0,000001562	12,579297006
17374077	ENSMUSG00000048482	Bdnf	0,4910826043	6,2074136769	7,5447600728	7,03370813497882E-10	2,306845257029E-06	12,127792597
17297759	NA	NA	0,5922998306	8,4754764615	7,3961578349	1,20958379994702E-09	3,60642908062385E-06	11,6329926534
17322927	ENSMUSG00000037972	Snn	-0,2830965897	9,0801192462	-7,2326183556	2,19831328964814E-09	6,00817341338252E-06	11,0870757147
17444498	ENSMUSG00000059991	Nptx2	0,5939151578	7,8505640615	7,1846173444	2,61995276764314E-09	6,37644010191077E-06	10,9266067765
17437350	NA	NA	0,5789320473	6,8955532308	7,1741758948	2,72190021729886E-09	6,37644010191077E-06	10,8916880707
17332804	ENSMUSG00000023805	Synj2	0,3037315344	8,6141226615	7,1273226767	3,23053389377968E-09	7,06345467428614E-06	10,7349475429
17483912	ENSMUSG00000006205	Htra1	0,3222404638	8,7713771846	7,096052778	3,6219123413666E-09	7,42424119123752E-06	10,6302937921
17297801	NA	NA	0,5417379976	10,1371270462	6,906221475	7,25284714755086E-09	1,32150904387903E-05	9,9943329769
17297833	NA	NA	0,5417379976	10,1371270462	6,906221475	7,25284714755086E-09	1,32150904387903E-05	9,9943329769
17352265	ENSMUSG00000024647	Cbln2	0,3844672101	8,379883	6,8384820863	9,29238599758366E-09	1,60401254506711E-05	9,7671958251
17443519	ENSMUSG00000037428	Vgf	0,4387296959	9,1483239385	6,8020755008	1,06160414446428E-08	1,74087155629975E-05	9,6450915913
