Affymetrix Probeset ID	Ensembl ID	MGI Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
17340404	ENSMUSG00000024256	Adcyap1	0,5243570997	7,4678678154	7,60624646	5,62169641665911E-10	1,84374777377169E-05	12,0592806228
17397511	ENSMUSG00000048332	Lhfp	0,3799490429	7,8861600308	6,9884771061	5,36815837613934E-09	8,80297451311209E-05	10,058852196
17301926	ENSMUSG00000034997	Htr2a	0,4326382894	9,4725540154	6,7872497298	1,12076202280946E-08	0,0001225254	9,4033759015
17483912	ENSMUSG00000006205	Htra1	0,2682241626	8,7713771846	6,2801365562	7,14087703605762E-08	0,0005854984	7,7491731885
17352265	ENSMUSG00000024647	Cbln2	0,3263791936	8,379883	6,1724459914	1,05671765027557E-07	0,0006931434	7,3982555499
17506854	ENSMUSG00000056820	Tsnax	0,2464839672	9,8777045231	6,1166336298	1,29435146229971E-07	0,0007075141	7,2165361796
17291874	ENSMUSG00000039114	Nrn1	0,2442537324	11,390736	5,8722700928	3,13748761026836E-07	0,0013266705	6,4226375013
17506917	ENSMUSG00000033998	Kcnk1	0,1953858328	10,7961515385	5,8637060807	3,23607777425956E-07	0,0013266705	6,3948774426
17494503	ENSMUSG00000037060	Prkcdbp	0,3090776622	7,4561485846	5,775960749	4,4413618144021E-07	0,0014807039	6,1107531057
17289324	ENSMUSG00000091387	Gcnt4	0,3424412718	8,4914256308	5,7661865961	4,60057106077676E-07	0,0014807039	6,079139673
17395009	ENSMUSG00000067578	Cbln4	0,4021912847	7,1832501538	5,7253460722	5,3293761822938E-07	0,0014807039	5,9471287624
17550426	NA	Neat1	0,3864574595	8,0319424615	5,7136113426	5,55920093986584E-07	0,0014807039	5,9092236281
17283940	NA	NA	0,3504188653	10,0255685077	5,6985239507	5,86918050302851E-07	0,0014807039	5,8605061951
17361805	NA	Neat1	0,4315653267	7,7437772769	5,6759472717	6,36531167070407E-07	0,0014911652	5,7876430582
17269845	ENSMUSG00000035086	Becn1	0,2057821321	8,8585389692	5,6484373101	7,02633532097342E-07	0,0015265734	5,6989207343
17243738	ENSMUSG00000020048	Hsp90b1	0,2086657238	11,4689487692	5,6322217842	7,44738056929208E-07	0,0015265734	5,6466570956
17225506	ENSMUSG00000055866	Per2	-0,3307088106	7,7622745538	-5,5947435988	8,51859255279695E-07	0,0016434369	5,5259596864
17444498	ENSMUSG00000059991	Nptx2	0,431699225	7,8505640615	5,5525813267	9,906891352357E-07	0,0018050906	5,3903460223
17310977	ENSMUSG00000050963	Kcns2	0,4041949809	7,4156930154	5,5312845844	1,06910519423949E-06	0,0018454444	5,3219164698
17405267	ENSMUSG00000056306	Sertm1	0,313883698	7,1272927385	5,4934180359	0,000001224	0,0019373421	5,2003678444
17493668	ENSMUSG00000030744	Rps3	0,2170500749	9,7657426308	5,4896701907	1,24048493929187E-06	0,0019373421	5,1883462712
17278030	ENSMUSG00000041771	Slc24a4	-0,2625463238	9,6182869846	-5,3975969906	1,72223538234865E-06	0,0025674615	4,8935311446
17404296	ENSMUSG00000049796	Crh	0,5084832645	6,332741	5,3835637464	1,81036295396989E-06	0,0025814989	4,8486882939
17390879	ENSMUSG00000027204	Fbn1	0,2909475259	6,2374389231	5,3383094737	0,000002126	0,0029053164	4,7042526699
17374295	ENSMUSG00000055943	Emc7	0,2114705293	9,7233465385	5,2656495558	2,75018968170181E-06	0,0036079188	4,4729264786
17516993	NA	NA	0,1507917896	10,2461179231	5,1688137309	3,87053380713365E-06	0,0047072959	4,1658212712
17409792	ENSMUSG00000033377	Palmd	-0,278580984	8,5708270154	-5,1603971452	3,9869166707043E-06	0,0047072959	4,1391967868
17437585	ENSMUSG00000090061	Nwd2	0,3427366178	8,9310022308	5,1581343015	4,01879091694457E-06	0,0047072959	4,1320405664
17227320	ENSMUSG00000041879	Ipo9	0,1635232195	10,1002105846	5,1424575372	4,24661714018975E-06	0,0048026311	4,082485401
17291374	ENSMUSG00000021339	Mrs2	0,179473144	8,8477011077	5,1009761499	4,9126719221841E-06	0,0052176867	3,951552923
17404152	NA	NA	0,2734600477	10,4418100923	5,0927294026	5,05686056344881E-06	0,0052176867	3,9255567261
17290777	NA	4933412O06Rik	-0,3453033505	7,5007232	-5,0908168227	5,0908916714135E-06	0,0052176867	3,9195293395
17380706	NA	NA	-0,5679865404	6,2722552923	-5,0718448275	5,44092152466967E-06	0,0053695941	3,8597737682
17478598	NA	NA	0,4962383274	6,2754174308	5,0653274784	5,56655184385035E-06	0,0053695941	3,8392604474
17231532	NA	A630066F11Rik	0,3323436586	6,4328787385	5,0543534633	5,78457470174042E-06	0,005420477	3,8047363673
17339967	ENSMUSG00000024245	Tmem178	0,1836788745	10,8671101538	5,0449451154	5,9781699363072E-06	0,0054462789	3,7751545353
17416427	ENSMUSG00000028618	Tmem59	0,2088758785	11,2536609231	5,027431723	6,35567799901229E-06	0,0056337073	3,7201301926
17396941	ENSMUSG00000027710	Acad9	0,1911226312	7,9301660769	4,9819962296	7,4479031761928E-06	0,0062654043	3,5776356069
17354263	ENSMUSG00000033319	Fem1c	0,2667933614	8,8075130923	4,981900073	7,45040002451489E-06	0,0062654043	3,5773344406
17374423	NA	G630016G05Rik	-0,4624238723	5,1595929385	-4,9695246419	7,7787135704443E-06	0,0062949516	3,5385884317
17438189	ENSMUSG00000049907	Rasl11b	0,3263460972	9,2767234923	4,9661964817	7,86940930034927E-06	0,0062949516	3,5281732244
17507321	ENSMUSG00000001300	Efnb2	-0,2300593494	8,8940083231	-4,9364319248	8,72815299976779E-06	0,0068156484	3,4351203432
17391963	ENSMUSG00000027341	Tmem230	0,3169088761	7,2936830615	4,9172876011	9,32849672590705E-06	0,0071150397	3,3753590114
17269461	NA	NA	0,4210450441	5,4599497538	4,8796339905	0,00001063	0,0076676682	3,258027915
17535183	ENSMUSG00000036790	Slitrk2	0,2433040469	8,2545020615	4,8789454784	1,06554338633235E-05	0,0076676682	3,255885088
17500523	ENSMUSG00000031532	Saraf	0,1948617049	10,2382250308	4,8762763003	1,07544207982893E-05	0,0076676682	3,2475788183
17420817	NA	LOC102636380	-0,3134990837	4,8907741692	-4,8564160101	1,15198502190452E-05	0,0080386495	3,1858203493
17208865	NA	NA	0,5922112721	6,9357893385	4,8406233875	1,21664680569036E-05	0,0083129928	3,136768292
17478797	NA	NA	0,321880019	9,2091707385	4,8339946717	1,24483740048959E-05	0,008332027	3,1161947452
